Date,Ticker,Action,Price,Shares,Transaction Value,Portfolio Value,Profit/Loss
2020-02-21,GME,sell,1.0099999904632568,2269.0,2291.6899783611298,11978.373520970345,-11.34498918056488
2020-02-23,BTC-USD,sell,9924.515625,1.0,9924.515625,12216.447739720345,35.0908203125
2020-02-24,ORCL,buy,48.95696258544922,202.0,9889.306442260742,11889.76695740223,0.0
2020-02-24,GME,buy,0.925000011920929,40.0,37.00000047683716,11889.76695740223,0.0
2020-03-03,GME,sell,0.9075000286102295,40.0,36.30000114440918,10847.981070160866,-0.6999993324279785
2020-03-03,WMT,buy,34.99514389038086,1.0,34.99514389038086,10847.981070160866,0.0
2020-03-04,ORCL,sell,46.99496078491211,202.0,9492.982078552246,11406.04890692234,-396.3243637084961
2020-03-04,WMT,sell,36.19151306152344,1.0,36.19151306152344,11406.04890692234,1.1963691711425781
2020-03-04,SOXL,sell,15.122425079345703,124.0,1875.1807098388672,11406.04890692234,-414.57083892822266
2020-03-05,ORCL,buy,44.63312530517578,255.0,11381.446952819824,11406.04890692234,0.0
2020-03-06,ORCL,sell,44.047325134277344,255.0,11232.067909240723,11256.669863343239,-149.37904357910156
2020-03-09,ORCL,buy,42.7827033996582,263.0,11251.850994110107,11256.669863343239,0.0
2020-03-12,ORCL,sell,37.00830078125,263.0,9733.18310546875,9738.001974701881,-1518.6678886413574
2020-03-12,NVDA,buy,5.388766765594482,1807.0,9737.50154542923,9738.001974701881,0.0
2020-03-19,NVDA,sell,5.3055596351623535,1807.0,9587.146260738373,9587.646690011024,-150.35528469085693
2020-03-19,TSLA,buy,28.50933265686035,336.0,9579.135772705078,9587.646690011024,0.0
2020-03-20,SOXL,buy,4.16610860824585,2.0,8.3322172164917,9585.183189034462,0.0
2020-03-23,SOXL,sell,4.553730010986328,2.0,9.107460021972656,9737.382351517677,0.775242805480957
2020-03-23,TSLA,sell,28.952667236328125,336.0,9728.09619140625,9737.382351517677,148.96041870117188
2020-03-24,WMT,buy,35.80997085571289,271.0,9704.502101898193,9737.382351517677,0.0
2020-03-25,GME,buy,1.0425000190734863,31.0,32.317500591278076,9262.404568314552,0.0
2020-03-26,GME,sell,1.1024999618530273,31.0,34.17749881744385,9299.697477459908,1.8599982261657715
2020-03-27,WMT,buy,34.11333465576172,1.0,34.11333465576172,9279.453939557076,0.0
2020-04-01,WMT,sell,35.53290939331055,272.0,9664.951354980469,9665.578268170357,-73.66408157348644
2020-04-02,TSLA,buy,30.29800033569336,319.0,9665.062107086182,9665.578268170357,0.0
2020-04-07,TSLA,sell,36.36333465576172,319.0,11599.903755187988,11600.419916272163,1934.8416481018066
2020-04-07,SOXL,buy,6.861151218414307,1690.0,11595.345559120178,11600.419916272163,0.0
2020-04-07,GME,buy,0.8174999952316284,6.0,4.9049999713897705,11600.419916272163,0.0
2020-04-08,SOXL,sell,7.5485711097717285,1690.0,12757.085175514221,12762.369532823563,1161.739616394043
2020-04-08,GME,buy,0.8525000214576721,14964.0,12756.810321092606,12762.369532823563,0.0
2020-04-13,GME,sell,1.184999942779541,14970.0,17739.44914340973,17739.89335501194,4977.733822345734
2020-04-13,BTC-USD,buy,6845.03759765625,2.0,13690.0751953125,17739.89335501194,0.0
2020-04-15,SOXL,buy,7.606616497039795,532.0,4046.719976425171,17334.03788626194,0.0
2020-04-16,SOXL,sell,8.166202545166016,532.0,4344.41975402832,18581.12633574009,297.6997776031494
2020-04-18,BTC-USD,sell,7257.6650390625,2.0,14515.330078125,18862.84801542759,825.2548828125
2020-04-21,GME,buy,1.1950000524520874,15784.0,18861.880827903748,18862.84801542759,0.0
2020-04-23,GME,sell,1.1749999523162842,15784.0,18546.19924736023,18547.16643488407,-315.68158054351807
2020-04-23,TSLA,buy,47.04199981689453,394.0,18534.547927856445,18547.16643488407,0.0
2020-04-23,NVDA,buy,7.075324535369873,1.0,7.075324535369873,18547.16643488407,0.0
2020-04-27,TSLA,sell,53.25,394.0,20980.5,20993.444109082222,2445.9520721435547
2020-04-27,ORCL,buy,49.862213134765625,420.0,20942.129516601562,20993.444109082222,0.0
2020-04-27,NVDA,sell,7.40092658996582,1.0,7.40092658996582,20993.444109082222,0.32560205459594727
2020-04-27,WMT,buy,39.94104766845703,1.0,39.94104766845703,20993.444109082222,0.0
2020-04-28,GME,buy,1.409999966621399,14813.0,20886.329505562782,20926.64264881611,0.0
2020-04-28,ORCL,sell,49.70338439941406,420.0,20875.421447753906,20926.64264881611,-66.70806884765625
2020-04-29,GME,sell,1.5099999904632568,14813.0,22367.629858732224,22406.573228120804,1481.3003531694412
