price_return,ma7,ma21,lagged_return,business_date,actual_price,rf_predicted_price,xgb_predicted_price,lr_predicted_price,best_model
0.0020023304522300833,13.18504251752581,13.283983276003884,0.02137712070802933,2020-11-27,13.224682807922363,13.308104553222655,21.608206,233.19364520826252,rf
0.010575834791522576,13.181160245622907,13.30190981002081,0.0020023304522300833,2020-11-30,13.364544868469238,13.2418674659729,1.7139066,141.8240254910717,rf
-0.0008580863596665544,13.174001285008021,13.34255922408331,0.010575834791522576,2020-12-01,13.353076934814453,13.216096639633179,19.103214,76.78389476219553,rf
0.011538585699067072,13.239071573529925,13.388325554983956,-0.0008580863596665544,2020-12-02,13.507152557373047,13.261700973510742,0.9794542,124.20543857610468,rf
-0.01067168358506887,13.276105880737305,13.406392642429896,0.011538585699067072,2020-12-03,13.363008499145508,13.231449146270752,-28.712692,-48.13598514990094,rf
0.012111791711895359,13.362225668770927,13.39537575131371,-0.01067168358506887,2020-12-04,13.524858474731445,13.462687120437622,13.743745,26.05185485580084,rf
0.003577320915012283,13.415795053754534,13.369294166564941,0.012111791711895359,2020-12-07,13.573241233825684,13.415098752975464,0.5515707,154.91495731513234,rf
-0.018869389411262594,13.429000718252999,13.311926433018275,0.003577320915012283,2020-12-08,13.317122459411621,13.195583267211914,-22.896801,-247.24227746295693,rf
-0.03140472134984096,13.362480299813408,13.278866359165736,-0.018869389411262594,2020-12-09,12.89890193939209,13.065772018432618,-6.8784976,-663.2753558170072,rf
0.003209572097224722,13.303512437002999,13.28865264710926,-0.03140472134984096,2020-12-10,12.940301895141602,13.221746301651,15.9319,-321.26324588683104,rf
0.0031605385554751564,13.228376388549805,13.269614582970028,0.003209572097224722,2020-12-11,12.981200218200684,13.252240772247314,31.07037,52.606362796561115,rf
0.022707545489107694,13.215942519051689,13.262773059663319,0.0031605385554751564,2020-12-14,13.275971412658691,13.417831325531006,-2.5355823,321.8557640047596,rf
0.0038884796311149383,13.187761987958636,13.265975952148438,0.022707545489107694,2020-12-15,13.327594757080078,13.438902826309205,20.559614,273.6333612786578,rf
-0.008831988216669306,13.135854039873395,13.253209386553083,0.0038884796311149383,2020-12-16,13.209885597229004,13.178051538467408,-2.1969619,-105.67929509323544,rf
0.007457133556494577,13.1346070425851,13.24955009278797,-0.008831988216669306,2020-12-17,13.308393478393555,13.211116256713867,-8.402085,-18.52739584462263,rf
-0.005190664013732249,13.18323734828404,13.242292631240119,0.007457133556494577,2020-12-18,13.239314079284668,13.276576623916625,9.071973,-16.73674729431031,rf
0.004539552053830276,13.23453916822161,13.237350963410877,-0.005190664013732249,2020-12-21,13.29941463470459,13.37004614830017,0.06868447,-19.262131939540282,rf
-0.004050425920373857,13.272302900041852,13.246583620707193,0.004539552053830276,2020-12-22,13.245546340942383,13.366709966659545,8.737447,-32.46864722886659,rf
-0.02025867735832243,13.229622568402972,13.240556989397321,-0.004050425920373857,2020-12-23,12.977209091186523,12.996751489639282,6.014405,-349.20062330801676,rf
-0.001191393920598749,13.177358763558525,13.242448806762695,-0.02025867735832243,2020-12-24,12.961748123168945,13.012950420379639,19.800854,-261.51556616742516,rf
-0.007215015283954296,13.12855066571917,13.2267332531157,-0.001191393920598749,2020-12-28,12.868228912353516,13.101494188308715,-51.87628,-138.34444626962468,rf
0.003352845216105571,13.071833610534668,13.211813790457589,-0.007215015283954296,2020-12-29,12.91137409210205,13.133777494430541,-11.137013,-57.74360929096152,rf
0.015645241955992706,13.053842408316475,13.199853352137975,0.003352845216105571,2020-12-30,13.113375663757324,13.374406356811523,-7.159202,226.2774191713931,rf
-0.0069035228213114586,13.01433277130127,13.184128125508627,0.015645241955992706,2020-12-31,13.022847175598145,13.241437549591064,-5.90371,48.049566688189714,rf
0.004480996408392501,12.990855080740792,13.163844789777484,-0.0069035228213114586,2021-01-04,13.081202507019043,13.155362634658813,-10.180246,-38.889372526482795,rf
0.022210039124027192,13.047216142926898,13.164260410127186,0.004480996408392501,2021-01-05,13.371736526489258,13.43801788330078,-2.5355823,329.0964639501171,rf
-0.05895295451585669,12.99317114693778,13.119430632818313,0.022210039124027192,2021-01-06,12.583433151245117,12.617536926269532,17.267569,-599.3129102778279,rf
0.05783032654206388,13.056443759373256,13.10694948832194,-0.05895295451585669,2021-01-07,13.311137199401855,13.030723133087157,67.09734,134.2106375575594,rf
-0.005039928028457874,13.103968892778669,13.103469848632812,0.05783032654206388,2021-01-08,13.244050025939941,13.432872953414916,28.155813,530.4710222358817,rf
0.02596642868823551,13.171765327453613,13.13628169468471,-0.005039928028457874,2021-01-11,13.587950706481934,13.505038356781006,18.874554,278.05504149886343,rf
-0.010039164095954844,13.233007022312709,13.160626320611863,0.02596642868823551,2021-01-12,13.451539039611816,13.630034503936768,257.4134,116.74878912051196,rf
0.0034852985414139948,13.292609759739467,13.18525591350737,-0.010039164095954844,2021-01-13,13.498421669006348,13.459058656692505,26.178812,-86.20711016234648,rf
-0.024497812333241997,13.263467379978724,13.180102030436197,0.0034852985414139948,2021-01-14,13.167739868164062,12.978543405532838,-4.703552,-326.096371072469,rf
-0.025813883825572703,13.298381124223981,13.156303678240095,-0.024497812333241997,2021-01-15,12.827829360961914,12.993329935073852,11.917243,-647.0773568618777,rf
0.012889197301544586,13.252957207815987,13.145983877636137,-0.025813883825572703,2021-01-19,12.993169784545898,13.333305654525757,11.212041,-127.18263908842259,rf
0.026141696844306228,13.265640531267438,13.147147678193592,0.012889197301544586,2021-01-20,13.332833290100098,13.77611304283142,24.21462,474.6345936907004,rf
