ticker,business_date,price,price_return,ma7,ma21,lagged_return
QQQ,2017-01-27,119.1011962890625,0.0019116173643529688,117.74190521240234,115.89754776727585,0.001036626483978731
QQQ,2020-03-26,186.807373046875,0.05266059606933937,174.13341413225447,187.06244477771577,-0.007405440642025085
NVDA,2020-09-29,13.18928050994873,0.014633579105682193,12.645213944571358,12.730133737836566,0.012525588918399277
SOXL,2022-07-01,11.379668235778809,-0.11450382755704525,13.794343539646693,16.99649579184396,-0.0332102865680054
SOXL,2022-07-18,14.636608123779297,-0.012574437653481096,13.619163921901158,13.526949019659133,0.07391631158014222
ORCL,2022-12-06,76.79010772705078,-0.006546506401214902,79.38976396833148,77.74748193650018,-0.04703059073267879
BTC-USD,2023-03-29,28348.44140625,0.0396180637553154,27724.67940848214,25784.319661458332,0.004725228944394866
SPY,2017-01-12,199.08656311035156,-0.0025099830522054,199.21590314592635,198.4041283017113,0.0028260471059984305
TQQQ,2021-08-30,72.54520416259766,0.03314948402529816,69.15289197649274,66.612974802653,0.029224049856053647
SPY,2019-09-11,276.66180419921875,0.007110587651348643,273.43420846121654,268.8866882324219,-0.00023445765645857541
NVDA,2021-08-27,22.59322166442871,0.02573873273409588,21.570871898106166,20.441961924235027,-0.006527701869210367
ORCL,2019-10-22,50.09159851074219,-0.018501519463082428,51.25140816824777,50.55744697934105,0.010632355913904767
BTC-USD,2023-05-22,26851.27734375,0.0036425134576618667,26984.640066964286,27619.477027529763,-0.013850552916312875
BTC-USD,2017-01-01,998.3250122070312,0.03588304343929827,959.0759974888393,867.1147606259301,0.0026060194719346175
BTC-USD,2019-05-24,7987.37158203125,0.013388347506898546,7851.402692522322,7148.537411644345,0.02627324592835456
NVDA,2017-01-11,2.590669631958008,-0.012303960480727127,2.5696588924952914,2.5582678658621654,-0.007550306433502296
QQQ,2024-08-16,474.3634033203125,0.0012857527515495182,460.0135716029576,459.25939214797245,0.025263085594123602
TQQQ,2023-01-18,18.932113647460938,-0.03711031040714352,18.81675856454032,17.618982269650413,0.0054727119839497185
SPY,2019-06-28,269.9814758300781,0.005145963834867873,269.55995396205356,264.7652398972284,0.003545805344659092
BTC-USD,2021-09-30,43790.89453125,0.05356827518164842,42484.34486607143,44588.92894345238,0.012911568502261384
SPY,2020-04-01,230.32623291015625,-0.04500485163646961,236.6169172014509,242.54163324265252,-0.01490536152757782
QQQ,2021-02-01,314.9794006347656,0.02498751195426241,315.3854762486049,310.449227469308,-0.021038147957778475
ORCL,2022-03-30,80.03326416015625,-0.011033310355126447,79.1952405657087,76.32821945917038,0.008253453815058709
SPY,2018-05-10,244.6893768310547,0.009350232750305665,239.94251796177454,239.75532822381882,0.009665836411176132
BTC-USD,2016-11-29,735.60400390625,-0.00028401832847246844,737.909423828125,731.1574300130209,0.005160976285722985
QQQ,2019-01-31,162.01416015625,0.014968883015739731,158.14657156808036,155.30714125860305,0.02543761987017401
BTC-USD,2024-05-20,71448.1953125,0.07800174241430358,66395.87220982143,63298.51655505953,-0.009895869986810912
BTC-USD,2017-04-19,1210.2900390625,-0.0011389279529591123,1186.8785923549108,1157.4662097749256,0.014875500881293524
NVDA,2021-12-31,29.36418914794922,-0.005915000274102633,29.85312489100865,29.81157093956357,-0.013832983574004643
TQQQ,2017-10-10,9.602180480957031,0.002100221009893488,9.452357700892858,9.227030935741606,-0.0025137908046739543
ORCL,2020-10-19,56.16341400146485,-0.011112979834710934,57.19021878923689,56.494159516834074,-0.0038004292227433734
ORCL,2018-07-05,41.0062255859375,0.015429335442242564,40.09933417184012,41.22208876836868,-0.005116982559141392
SOXL,2017-07-31,5.977901458740234,-0.022453161791097243,6.235189097268241,5.976161207471575,-0.009766500746467122
BTC-USD,2023-06-21,30027.296875,0.06000562340273241,27136.651506696428,26632.909598214286,0.05498705349618893
TQQQ,2018-04-12,11.883200645446776,0.03505317502174066,11.394756044660296,12.115887096949987,-0.016818243664727173
SPY,2016-11-23,192.82630920410156,0.0005436177213042903,191.5994110107422,188.00099036807106,0.0019535803727446233
NVDA,2023-10-27,40.48775100708008,0.004314809337073511,41.806065695626394,43.869203476678756,-0.03477814602713103
BTC-USD,2023-08-13,29282.9140625,-0.004523080645381872,29433.39285714286,29302.368954613095,0.0006207965516027425
BTC-USD,2023-01-30,22840.138671875,-0.03930367092328346,23073.08984375,21559.27762276786,0.03228143207915801
BTC-USD,2017-12-14,16564.0,0.009495300439305021,16361.057338169643,12859.067615327382,-0.05783393716386753
SPY,2017-06-14,215.5849151611328,-0.001267733441195018,215.1473432268415,213.32608250209265,0.004890228947075359
QQQ,2018-12-10,156.6619873046875,0.01047231978048524,160.15069580078125,159.30801754906065,-0.03301581754533833
SPY,2018-11-28,249.2244415283203,0.023025502772906714,242.72948128836495,246.58573041643416,0.003364500124497072
SOXL,2018-02-14,9.612218856811523,0.0671564286984061,8.955124514443535,10.36673489071074,-0.001494978327518992
TQQQ,2020-01-14,23.155811309814453,-0.01166997078396148,22.551597595214844,21.286821365356445,0.034950851970513064
TQQQ,2024-03-08,59.42469787597656,-0.043782807027494375,60.48337609427316,58.783453986758275,0.044570130654797424
QQQ,2020-02-19,230.20046997070312,0.009585509911544943,227.38482883998327,220.80665297735305,0.00038339869588210895
ORCL,2018-12-06,42.48878479003906,-0.042461890590530516,43.891820090157644,44.68413816179548,-0.021673462130630705
ORCL,2021-12-14,95.54862213134766,-0.009911910119323797,90.20293971470424,89.22317177908761,-0.016954013117614908
SOXL,2023-05-09,13.789684295654297,-0.048464157623657744,14.062425477164131,14.506159827822732,0.012439567403748297
